1,1,4101,2020-11-13,2020-11-27,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
2,1,4402,2020-11-27,2020-12-11,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
3,1,4306,2020-12-11,2020-12-25,2,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
4,1,4204,2020-12-25,2021-01-08,3,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
5,1,4407,2021-01-08,2021-01-22,4,304,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
6,1,4208,2021-01-22,2021-02-05,5,305,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
7,1,4308,2021-02-05,2021-02-19,6,306,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
8,1,4104,2021-02-19,2021-03-05,7,307,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
9,1,4109,2021-03-05,2021-03-19,8,308,0,0,0,0,4,4,10,NULL,NULL,NULL
10,1,4409,2021-03-19,2021-04-02,9,309,0,0,0,0,30,4,11,NULL,NULL,NULL
11,1,4209,2021-04-02,2021-04-16,10,310,0,0,0,0,13,4,12,NULL,NULL,NULL
12,1,4309,2021-04-16,2021-04-30,11,311,0,0,0,0,4,4,13,NULL,NULL,NULL
13,1,4503,2021-04-29,2021-05-13,12,1001,0,0,0,0,70,37,1,NULL,NULL,NULL
14,1,4409,2021-04-30,2021-05-14,13,312,1,0,0,0,30,4,14,NULL,NULL,NULL
15,1,4603,2021-05-13,2021-05-27,14,1002,0,0,0,0,71,38,1,NULL,NULL,NULL
16,1,4209,2021-05-14,2021-05-28,15,314,1,0,0,0,13,4,15,NULL,NULL,NULL
17,1,4210,2021-05-28,2021-06-11,16,313,0,0,0,0,4,4,16,NULL,NULL,NULL
18,1,4211,2021-06-11,2021-06-25,17,315,0,0,0,0,30,4,17,NULL,NULL,NULL
19,1,4311,2021-06-25,2021-07-09,18,316,0,0,0,0,13,4,18,NULL,NULL,NULL
20,1,4309,2021-06-28,2021-07-12,19,501,1,0,0,0,97,47,1,NULL,NULL,NULL
